#OTU ID	Bn25	Bn26	Bn29	Bn30	Bn33	Bn34	Bn61	Bn62	Bn65	Bn66	Bn69	Bn70
OTU1561	0	0	0	0	0	0	0	0	0	2	0	0
OTU449	0	0	0	0	0	1	0	0	0	1	0	0
OTU19	7	1197	0	1267	0	1052	0	161	0	114	1	118
OTU74	0	48	2	70	2	53	0	27	0	9	2	52
OTU520	0	15	1	11	3	17	0	0	0	0	0	0
OTU1791	0	0	0	0	0	0	0	1	0	0	0	0
OTU1405	0	3	0	0	0	0	0	2	0	0	0	1
OTU1987	1	2	0	1	12	0	2	1	4	0	9	0
OTU177	162	0	16	0	11	0	2	0	6	0	2	0
OTU610	0	0	0	0	0	1	0	0	0	0	0	0
OTU1079	0	2	0	0	0	0	0	1	0	0	0	0
OTU2213	0	0	0	0	0	0	0	1	0	0	0	0
OTU665	0	0	1	0	0	0	1	0	0	0	0	0
OTU1163	0	0	0	0	0	0	0	1	0	0	0	0
OTU531	0	0	0	0	0	0	0	2	0	0	0	0
OTU1714	0	0	0	0	0	0	0	0	0	2	0	0
OTU1904	0	0	0	0	0	1	0	0	0	0	0	0
OTU307	0	0	0	0	0	0	0	2	0	0	0	0
OTU1144	0	0	0	1	0	2	0	1	0	2	0	0
OTU1241	0	0	0	0	0	0	0	2	0	0	0	0
OTU917	0	1	0	4	0	1	0	7	0	15	0	0
OTU1265	0	0	0	0	0	0	0	0	0	1	0	0
OTU1897	0	0	0	0	0	0	0	1	0	1	0	0
OTU1793	0	0	0	2	0	0	0	0	0	0	0	0
OTU1576	0	1	0	0	0	0	0	0	0	0	0	0
OTU1378	0	0	0	0	0	0	0	0	0	0	0	1
OTU2203	0	0	0	0	0	0	0	0	0	0	0	2
OTU371	0	1	0	2	0	6	0	14	0	12	0	13
OTU193	0	4	0	3	0	0	0	38	0	21	0	12
OTU737	0	1	0	2	0	3	0	10	0	6	0	2
OTU807	0	0	0	0	0	0	0	0	0	0	0	4
OTU620	0	0	0	0	0	0	0	2	0	0	0	0
OTU407	0	1	0	0	0	0	0	1	0	0	0	0
OTU2207	0	1	0	0	0	0	0	0	0	0	0	0
OTU127	0	0	0	1	0	0	0	0	0	0	2	1
OTU322	0	0	0	0	0	0	0	0	0	0	0	1
OTU123	0	0	0	0	1	0	1	1	0	0	0	0
OTU661	0	0	0	0	0	0	0	3	0	0	0	0
OTU1709	0	0	0	0	1	0	0	0	0	0	0	0
OTU916	0	0	0	0	0	0	0	0	0	0	0	3
OTU96	0	3	0	1	0	0	0	6	0	2	0	1
OTU1638	0	1	0	0	0	0	0	0	0	2	0	0
OTU542	0	2	0	1	0	3	0	5	0	17	1	5
OTU368	0	0	0	0	0	0	0	3	0	5	0	2
OTU27	0	4	0	2	1	1	0	17	0	13	0	12
OTU876	0	0	0	4	0	0	0	0	0	0	0	0
OTU507	0	0	0	0	0	0	0	0	0	3	0	0
OTU1210	0	2	0	1	0	0	0	2	0	0	0	0
OTU2101	0	0	0	0	0	0	0	0	0	2	0	25
OTU1913	0	0	0	5	0	1	0	11	0	14	0	2
OTU698	0	1	0	1	0	6	0	8	0	8	0	2
OTU1671	0	0	0	0	0	2	0	7	0	1	0	0
OTU540	0	0	0	0	0	0	0	0	0	0	0	6
OTU1180	0	0	0	0	0	0	0	0	0	1	0	1
OTU580	0	1	0	0	0	0	0	9	0	1	0	0
OTU827	0	0	0	0	0	0	0	1	0	0	0	0
OTU615	0	0	0	0	0	0	0	1	0	0	0	0
OTU491	0	0	0	2	0	1	0	5	0	3	0	5
OTU137	0	0	0	4	0	1	0	7	0	5	0	0
OTU462	0	0	0	4	0	0	0	3	0	5	0	0
OTU614	0	0	0	4	0	0	0	1	0	2	0	0
OTU670	0	0	0	1	0	0	0	1	0	0	0	0
OTU144	0	0	0	0	0	0	0	2	0	0	0	0
OTU245	0	0	0	2	0	0	0	5	0	9	0	0
OTU1571	0	0	0	0	0	0	0	0	0	3	0	0
OTU1001	0	1	0	4	0	2	0	5	0	0	0	2
OTU1373	0	0	0	0	0	0	0	0	0	2	0	1
OTU426	0	1	0	0	0	3	0	2	0	0	0	0
OTU170	0	1	0	0	0	0	0	1	0	5	0	5
OTU481	0	2	0	0	0	2	0	3	0	10	0	1
OTU2181	0	3	0	0	0	0	0	0	0	0	0	0
OTU1930	0	0	0	1	0	0	0	0	0	2	0	0
OTU84	0	0	0	0	0	0	0	3	0	0	0	0
OTU733	0	0	0	0	0	0	0	1	0	0	0	0
OTU345	0	0	0	1	0	0	0	0	0	0	0	0
OTU434	0	0	0	0	0	0	0	0	0	3	0	0
OTU274	0	6	0	1	0	4	0	11	0	4	0	3
OTU1566	0	0	0	0	0	0	0	3	0	0	0	0
OTU943	0	0	0	0	0	0	0	6	0	4	0	0
OTU643	0	2	0	1	0	2	0	3	0	3	0	0
OTU1292	0	0	0	0	0	0	0	1	0	0	0	0
OTU216	0	6	0	2	0	4	0	6	0	18	0	28
OTU795	0	0	0	1	0	0	0	0	0	0	0	1
OTU2173	0	1	0	0	0	0	0	4	0	7	0	0
OTU793	0	1	0	0	0	0	0	1	0	0	0	0
OTU1673	0	0	0	1	0	0	0	5	0	0	0	0
OTU1941	0	0	0	0	1	0	0	0	0	0	0	0
OTU1399	0	0	0	0	0	0	0	1	0	0	0	0
OTU2189	0	0	0	0	0	0	0	2	0	0	0	0
OTU2110	0	0	0	1	0	0	0	0	0	0	0	1
OTU1129	0	1	0	0	0	0	0	3	0	8	0	0
OTU2121	0	1	0	0	0	0	0	1	0	0	0	0
OTU143	5	0	1	0	33	0	50	1	25	0	11	1
OTU114	9	0	29	0	78	0	161	0	276	0	127	0
OTU974	0	0	0	0	2	0	1	0	1	0	4	0
